No.	ID	loglik_all	loglik_Max
1	1	-1130.1606	-1119.2076
2	2	-763.49436	-751.151
3	3	-785.88918	-774.60764
4	4	-1029.4671	-1018.8157
5	5	-745.43542	-739.41974
6	6	-1640.3108	-1630.513
7	7	-1404.5537	-1394.4273
8	8	-1038.382	-1027.9181
9	9	-1214.1754	-1204.2497
0	0	-762.56797	-751.72701
1	1	-1130.1951	-1119.3025
2	2	-762.93083	-750.81925
3	3	-785.79806	-774.39312
4	4	-1029.3027	-1018.8566
5	5	-744.99842	-739.9075
6	6	-1640.6772	-1630.761
7	7	-1404.5578	-1394.2946
8	8	-1038.3729	-1027.8539
9	9	-1214.2299	-1203.8501
0	0	-762.61835	-751.8269
1	1	-1130.1335	-1119.2615
2	2	-763.76864	-750.92099
3	3	-785.56575	-774.48405
4	4	-1029.4739	-1018.8873
5	5	-744.80263	-741.62201
6	6	-1640.6318	-1630.782
7	7	-1404.5936	-1394.6289
8	8	-1038.3942	-1027.9612
9	9	-1214.2777	-1204.4117
0	0	-762.62784	-751.77147
1	1	-1129.9056	-1119.1973
2	2	-762.76794	-751.05254
3	3	-786.14029	-774.46598
4	4	-1029.1686	-1018.8163
5	5	-745.11127	-739.27933
6	6	-1640.7571	-1630.8335
7	7	-1404.4231	-1394.3376
8	8	-1038.3105	-1027.9276
9	9	-1214.3606	-1204.3384
0	0	-762.50518	-751.86113
1	1	-1129.9145	-1119.3457
2	2	-762.99428	-751.36904
3	3	-785.5602	-774.53198
4	4	-1029.1834	-1018.8181
5	5	-744.97735	-739.80699
6	6	-1640.4054	-1630.6893
7	7	-1404.7047	-1394.544
8	8	-1038.2003	-1027.9483
9	9	-1214.4518	-1204.9445
0	0	-762.55071	-751.83005
1	1	-1129.9664	-1119.1984
2	2	-763.01205	-751.11367
3	3	-785.4866	-774.51144
4	4	-1029.3937	-1018.8101
5	5	-745.10032	-739.77135
6	6	-1640.4031	-1630.7276
7	7	-1404.8117	-1394.5511
8	8	-1038.308	-1027.9415
9	9	-1214.3015	-1204.6713
0	0	-762.49448	-751.69689
1	1	-1130.3077	-1119.0721
2	2	-762.44878	-752.50788
3	3	-785.40251	-774.37651
4	4	-1029.2337	-1018.7251
5	5	-744.97717	-740.47651
6	6	-1640.8132	-1630.6603
7	7	-1404.5797	-1394.4857
8	8	-1038.3643	-1027.8099
9	9	-1214.2409	-1205.2547
0	0	-762.7164	-751.70982
1	1	-1130.2455	-1119.1141
2	2	-763.01046	-750.83112
3	3	-785.09294	-774.38388
4	4	-1029.1994	-1018.7802
5	5	-745.71115	-741.50233
6	6	-1640.379	-1630.619
7	7	-1404.539	-1394.5049
8	8	-1038.1838	-1027.7924
9	9	-1214.2533	-1205.0703
0	0	-762.46137	-751.50335
1	1	-1130.5235	-1119.1945
2	2	-763.89342	-750.78599
3	3	-785.05281	-774.16463
4	4	-1029.1758	-1018.8165
5	5	-744.88703	-739.12418
6	6	-1640.6931	-1630.9001
7	7	-1404.9959	-1394.5413
8	8	-1038.533	-1027.7208
9	9	-1213.8216	-1204.4043
0	0	-762.59138	-751.446
1	1	-1129.9724	-1119.181
2	2	-763.02478	-750.15461
3	3	-784.95786	-774.12634
4	4	-1029.1724	-1018.8407
5	5	-745.08058	-739.09236
6	6	-1640.8549	-1631.0265
7	7	-1404.8203	-1394.6674
8	8	-1038.4398	-1027.7295
9	9	-1213.9564	-1204.2891
0	0	-762.12132	-751.39242
1	1	-1130.3517	-1119.2801
2	2	-763.58612	-750.03344
3	3	-784.91352	-774.06241
4	4	-1029.2602	-1018.9214
5	5	-745.26091	-739.06063
6	6	-1641.1413	-1631.1557
7	7	-1404.9585	-1394.5718
8	8	-1038.4769	-1027.7288
9	9	-1214.0562	-1203.6648
0	0	-761.7795	-751.25299
1	1	-1130.1638	-1119.5982
2	2	-762.41177	-749.86419
3	3	-784.63927	-773.94431
4	4	-1029.1062	-1018.9212
5	5	-745.245	-739.52209
6	6	-1641.175	-1631.4819
7	7	-1405.009	-1395.0412
8	8	-1038.1308	-1027.7435
9	9	-1214.019	-1204.908
0	0	-761.80857	-751.29372
1	1	-1130.073	-1119.4879
2	2	-762.64241	-749.7948
3	3	-784.36715	-774.00279
4	4	-1029.0812	-1019.0361
5	5	-745.30393	-738.37823
6	6	-1641.0927	-1631.645
7	7	-1404.9137	-1394.9312
8	8	-1038.2633	-1027.8166
9	9	-1214.1264	-1203.7111
0	0	-761.99887	-751.40338
1	1	-1130.2474	-1119.6326
2	2	-762.94241	-749.9237
3	3	-785.15905	-774.08674
4	4	-1028.9845	-1019.1223
5	5	-745.36028	-738.58082
6	6	-1641.0914	-1631.6301
7	7	-1404.8781	-1395.1562
8	8	-1037.9671	-1027.8865
9	9	-1214.3549	-1204.1172
0	0	-761.97647	-751.36695
1	1	-1130.1967	-1119.5722
2	2	-762.60207	-749.77309
3	3	-784.496	-774.04976
4	4	-1029.0778	-1019.0413
5	5	-744.88659	-738.27454
6	6	-1641.1196	-1631.4282
7	7	-1404.8688	-1394.8141
8	8	-1038.0717	-1027.836
9	9	-1214.2005	-1203.6717
0	0	-762.40197	-751.47269
1	1	-1129.9518	-1119.4467
2	2	-763.08122	-750.17435
3	3	-784.57436	-774.15244
4	4	-1028.908	-1019.0256
5	5	-745.61302	-738.55974
6	6	-1640.7791	-1631.3268
7	7	-1404.8058	-1394.8415
8	8	-1038.0721	-1027.8591
9	9	-1214.265	-1203.7528
0	0	-762.49814	-751.51782
1	1	-1130.1696	-1119.4391
2	2	-763.08998	-750.07265
3	3	-784.63994	-774.18194
4	4	-1029.0817	-1019.0481
5	5	-745.80168	-738.51574
6	6	-1640.6397	-1631.2634
7	7	-1404.6026	-1394.9968
8	8	-1037.9784	-1027.8526
9	9	-1214.1326	-1204.6512
0	0	-762.28579	-751.39972
1	1	-1129.7672	-1119.3609
2	2	-762.63629	-750.15038
3	3	-784.4695	-774.06589
4	4	-1028.9054	-1018.9277
5	5	-745.91974	-739.04637
6	6	-1640.7457	-1631.1676
7	7	-1404.7406	-1394.8015
8	8	-1037.8679	-1027.766
9	9	-1214.2092	-1204.3674
0	0	-762.47219	-751.54593
1	1	-1129.9493	-1119.4869
2	2	-762.12817	-750.27826
3	3	-784.77241	-774.20225
4	4	-1028.9921	-1018.8737
5	5	-745.7922	-738.89959
