# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
VCE749	VAMP3 (-255003)
VCE94199|VCE94200	FOXG1 (+278099)
VCE94201|VCE94202	FOXG1 (+278707)
VCE94424	PRKD1 (+435685)
VCE95110|VCE95111|VCE95112|VCE95113	NPAS3 (-219492), AKAP6 (+390552)
VCE95361	NPAS3 (+300331)
VCE95544|VCE95545|VCE95546|VCE95547	EGLN3 (+429565)
VCE95583|VCE95584	EGLN3 (+383607)
VCE95619|VCE95620	EGLN3 (+331040)
VCE95640|VCE95641|VCE95642|VCE95643|VCE95644	EGLN3 (+307496)
VCE95658|VCE95659	EGLN3 (+276559)
VCE95731|VCE95732|VCE95733	EGLN3 (+217636)
VCE95807|VCE95808|VCE95809	EGLN3 (+141337)
VCE96229	BRMS1L (+242842), MBIP (+251516)
VCE96245	MBIP (+207842), BRMS1L (+286516)
VCE96469	PAX9 (+1873)
VCE96572	PAX9 (+186757), SLC25A21 (+324244)
VCE96609	PAX9 (+253380), SLC25A21 (+257621)
VCE96784|VCE96785	FOXA1 (+128331), MIPOL1 (+268753)
VCE96952	CLEC14A (-257063)
VCE96961|VCE96962	CLEC14A (-412970), SEC23A (+434188)
VCE97001|VCE97002|VCE97003	SEC23A (+205615)
VCE97012|VCE97013	SEC23A (+152166)
VCE97555|VCE97556|VCE97557	PRPF39 (-309573), FSCB (-267247)
VCE97750|VCE97751	RPL10L (+180732)
VCE97845	MDGA2 (+191203)
VCE97927|VCE97928|VCE97929	NONE
VCE97976	NONE
VCE98147|VCE98148|VCE98149	METTL21D (-108879), SOS2 (+6122)
VCE98226	TRIM9 (-84099), TMX1 (-60008)
VCE98561|VCE98562|VCE98563	BMP4 (+191681)
VCE98643|VCE98644	CDKN3 (-417210), BMP4 (-22934)
VCE98788|VCE98789|VCE98790	BMP4 (-376962), CDKN3 (-63182)
VCE99107	OTX2 (+68003), TMEM260 (+162673)
VCE99151	OTX2 (+13524), TMEM260 (+217152)
VCE99222|VCE99223|VCE99224|VCE99225|VCE99226	AP5M1 (-365311), OTX2 (-93129)
VCE99278	AP5M1 (-259170), OTX2 (-199270)
VCE99314|VCE99315|VCE99316	OTX2 (-279502), AP5M1 (-178938)
VCE99326	OTX2 (-338000), AP5M1 (-120440)
VCE99578|VCE99579	DAAM1 (-423011), DACT1 (+202265)
VCE99685	RTN1 (+99455), JKAMP (+287068)
VCE99727	DHRS7 (-46203), PPM1A (-29693)
VCE100036	HIF1A (-365394), PRKCH (+10511)
VCE100095	SYT16 (-98281), SNAPC1 (+135185)
VCE100425|VCE100426	FUT8 (-215849), MAX (-92273)
VCE100726	FAM71D (-203381), GPHN (+478640)
VCE101093	ZFP36L1 (+223707)
VCE101134|VCE101135	ZFP36L1 (+61875)
VCE101554	DPF3 (+70629)
VCE101555	DPF3 (+70457)
VCE101557|VCE101558	DPF3 (+67848)
VCE101559	DPF3 (+42636)
VCE101560	DPF3 (+36960)
VCE101562	DPF3 (+23990)
VCE101568|VCE101569	DPF3 (+5722)
VCE101787	SYNDIG1L (+23151), VRTN (+54538)
VCE101857|VCE101858	MLH3 (+9293), EIF2B2 (+39328)
VCE101911	BATF (-62890), JDP2 (+27041)
VCE102255	ADCK1 (+83453)
VCE102337|VCE102338	NRXN3 (-184031), ADCK1 (+419636)
VCE102384|VCE102385	NRXN3 (-58486)
VCE102503	NONE
VCE102515	NONE
VCE102520	NONE
VCE102529|VCE102530	NONE
VCE102592|VCE102593	NONE
VCE102748|VCE102749	DIO2 (+290717)
VCE102765	DIO2 (+155108)
VCE102808	DIO2 (-68204)
VCE103420|VCE103421	NONE
VCE103684	NONE
VCE104121|VCE104122|VCE104123|VCE104124	FOXN3 (-188098), EFCAB11 (+147461)
VCE104125	FOXN3 (-190440), EFCAB11 (+145119)
VCE104440	GSC (-3179)
VCE104523	C14orf132 (-242433), TCL1A (-82695)
VCE104597|VCE104598	VRK1 (+8819)
VCE104834	NONE
VCE107566|VCE107567	FMN1 (+122250), GREM1 (+227660)
VCE107635	CHRM5 (-321347), RYR3 (+336565)
VCE107762|VCE107763|VCE107764	GOLGA8B (-118262), GJD2 (+53133)
VCE107806	ACTC1 (-104883), AQR (+68817)
VCE107900|VCE107901|VCE107902	ZNF770 (-195021), DPH6 (+362860)
VCE107934|VCE107935|VCE107936|VCE107937	ZNF770 (-265659), DPH6 (+292222)
VCE107988|VCE107989	ZNF770 (-393328), DPH6 (+164553)
VCE108042|VCE108043|VCE108044|VCE108045|VCE108046	DPH6 (-80835)
VCE108048	DPH6 (-84081)
VCE108093|VCE108094|VCE108095|VCE108096|VCE108097	DPH6 (-163904)
VCE108171|VCE108172	DPH6 (-288478)
VCE108183|VCE108184	DPH6 (-307240)
VCE108185	DPH6 (-308261)
VCE108199|VCE108200|VCE108201	DPH6 (-326587)
VCE108235	DPH6 (-412459)
VCE108253|VCE108254	DPH6 (-428117)
VCE108280|VCE108281|VCE108282|VCE108283	DPH6 (-494122)
VCE108285	NONE
VCE108309|VCE108310|VCE108311	NONE
VCE108486|VCE108487|VCE108488	NONE
VCE108519|VCE108520|VCE108521	NONE
VCE108527|VCE108528	NONE
VCE108633|VCE108634	MEIS2 (+402276)
VCE108649|VCE108650	MEIS2 (+368652)
VCE108737|VCE108738|VCE108739|VCE108740	MEIS2 (+215383)
VCE108779|VCE108780|VCE108781|VCE108782|VCE108783	MEIS2 (+173726)
VCE108872|VCE108873|VCE108874	MEIS2 (+70853)
VCE108884|VCE108885|VCE108886|VCE108887|VCE108888	MEIS2 (+62256)
VCE108905|VCE108906	MEIS2 (+43560)
VCE109017|VCE109018	MEIS2 (-121548)
VCE109061|VCE109062	MEIS2 (-245689)
VCE109081	MEIS2 (-259796)
VCE109101|VCE109102	MEIS2 (-321766)
VCE109172|VCE109173|VCE109174|VCE109175	TMCO5A (-225357)
VCE109218|VCE109219	TMCO5A (-148588)
VCE109345|VCE109346	SPRED1 (-28197), TMCO5A (+288872)
VCE109382	RASGRP1 (-104429)
VCE109409	RASGRP1 (-358309)
VCE109457|VCE109458|VCE109459	THBS1 (-41072)
VCE109481|VCE109482|VCE109483|VCE109484	THBS1 (+112073), GPR176 (+227726)
VCE109555	DISP2 (-30893), PLCB2 (-19420)
VCE109650	INO80 (+678)
VCE109651	INO80 (-139)
VCE109806	TGM5 (-165)
VCE110096	SQRDL (+97905)
VCE110123	SQRDL (+209820)
VCE110134	SQRDL (+265888)
VCE110279|VCE110280	NONE
VCE110324|VCE110325	SEMA6D (-371830)
VCE110341|VCE110342	SEMA6D (-323693)
VCE110374|VCE110375	SEMA6D (-216184)
VCE110406	SEMA6D (-133971)
VCE110452|VCE110453	SLC24A5 (-396398), SEMA6D (+6085)
VCE110490	SLC24A5 (-259331), SEMA6D (+143152)
VCE110531	SLC24A5 (-88792), SEMA6D (+313691)
VCE110547|VCE110548|VCE110549|VCE110550	MYEF2 (+10288), SLC24A5 (+47257)
VCE112023|VCE112024|VCE112025	FOXB1 (-226072), BNIP2 (-88616)
VCE112161	FOXB1 (+97432), ANXA2 (+296331)
VCE112306|VCE112307	NARG2 (-120788), RORA (+27530)
VCE112327	RORA (-24440)
VCE112392|VCE112393	RORA (-161484)
VCE112402	RORA (-187793)
VCE112498|VCE112499	RORA (-460305)
VCE112513	RORA (-494105)
VCE112802	C2CD4B (-309674), TLN2 (-86408)
VCE112849	APH1B (-32937), RAB8B (+55148)
VCE112868|VCE112869	FBXL22 (+104795), HERC1 (+131740)
VCE113005|VCE113006	RASL12 (+7175), SLC51B (+15567)
VCE113360	C15orf61 (-209203), AAGAB (-57129)
VCE113452	SKOR1 (-238689), MAP2K5 (+38306)
VCE113480	SKOR1 (-209152), MAP2K5 (+67843)
VCE113519|VCE113520|VCE113521	SKOR1 (-98920), MAP2K5 (+178075)
VCE113702	ANP32A (+44788), CORO2B (+196873)
VCE113810|VCE113811|VCE113812	RPLP1 (+251104), TLE3 (+394288)
VCE113847	TLE3 (+232559), RPLP1 (+412833)
VCE113850	TLE3 (+221503), RPLP1 (+423889)
VCE113904	TLE3 (+4666)
VCE113915|VCE113916	TLE3 (-25075)
VCE113925	TLE3 (-56117)
VCE113927	TLE3 (-67971)
VCE114269	NEO1 (-164122), ADPGK (-103803)
VCE119760	NONE
VCE119819	NONE
VCE119986	RBFOX1 (-238460)
VCE121927|VCE121928|VCE121929	NONE
VCE122080	XPO6 (-43834), SBK1 (-36816)
VCE123563	N4BP1 (-287873), CBLN1 (+383749)
VCE124054|VCE124055	SALL1 (+3808), CYLD (+404707)
VCE124199	SALL1 (-402725)
VCE124263	NONE
VCE124523	TOX3 (+138664)
VCE124577	TOX3 (+64051)
VCE124695|VCE124696	CHD9 (-305897), TOX3 (-202128)
VCE124717|VCE124718|VCE124719|VCE124720	CHD9 (-275561), TOX3 (-232464)
VCE124825|VCE124826	RBL2 (-348366), CHD9 (+31021)
VCE125008|VCE125009|VCE125010|VCE125011	FTO (+243181), IRX3 (+339619)
VCE125459|VCE125460|VCE125461	IRX5 (-123799)
VCE125962|VCE125963|VCE125964|VCE125965|VCE125966	GOT2 (-224242)
VCE126024|VCE126025|VCE126026	GOT2 (-429560)
VCE126062|VCE126063	NONE
VCE126109	NONE
VCE126327	NONE
VCE126522	NONE
VCE126791|VCE126792|VCE126793	CDH8 (-311478)
VCE126959|VCE126960	NONE
VCE127110|VCE127111	NONE
VCE127237|VCE127238	CDH11 (+382034)
VCE127299	CDH11 (+206223)
VCE127351	CDH11 (-31173)
VCE127417|VCE127418	CDH11 (-264796)
VCE127479|VCE127480	CDH11 (-483861)
VCE127605|VCE127606	CDH5 (-303515)
VCE127616|VCE127617	CDH5 (-252349)
VCE127624|VCE127625	CDH5 (-219531)
VCE128363|VCE128364|VCE128365|VCE128366	PMFBP1 (-461596), ZFHX3 (+414524)
VCE128434|VCE128435	ZFHX3 (+198704)
VCE128447	ZFHX3 (+165216)
VCE128454|VCE128455|VCE128456	ZFHX3 (+146103)
VCE128597	ZFHX3 (-131683)
VCE128680|VCE128681|VCE128682	ZFHX3 (-281307)
VCE128886|VCE128887|VCE128888	NONE
VCE129082|VCE129083|VCE129084	PSMD7 (-213136)
VCE129087|VCE129088|VCE129089|VCE129090|VCE129091	PSMD7 (-195240)
VCE129412	ENSG00000261833 (+48027)
VCE129414	ENSG00000261833 (+51413)
VCE129415	ENSG00000261833 (+58400)
VCE129416	ENSG00000261833 (+59212)
VCE129417|VCE129418	ENSG00000261833 (+64050)
VCE129438	MON1B (-384925), ENSG00000261833 (+252577)
VCE129452|VCE129453	MON1B (-304013), ENSG00000261833 (+333489)
VCE129456|VCE129457|VCE129458	MON1B (-284835), ENSG00000261833 (+352667)
VCE129477	MON1B (-159642), ENSG00000261833 (+477860)
VCE129521|VCE129522|VCE129523	ADAMTS18 (+9998), SYCE1L (+225719)
VCE129546|VCE129547	ADAMTS18 (-181199), NUDT7 (-106201)
VCE129576	CLEC3A (-82687), VAT1L (+151298)
VCE129926|VCE129927|VCE129928	NONE
VCE130000	MAF (+363806)
VCE130097|VCE130098	MAF (-58525)
VCE130315	DYNLRB2 (-111426)
VCE130474	MPHOSPH6 (-339534), CDH13 (-117205)
VCE130580|VCE130581|VCE130582	CDH13 (+425209)
VCE130618|VCE130619	HSBP1 (-493748)
VCE130730	GSE1 (-49953)
VCE130731	GSE1 (-46436)
VCE130745	GINS2 (-8054), EMC8 (+102487)
VCE131841	RTN4RL1 (+39235), RPA1 (+155665)
VCE131842	RTN4RL1 (+35560), RPA1 (+159340)
VCE131889	SRR (-212811), HIC1 (+34583)
VCE132073	OR1D5 (+84372), RAP1GAP2 (+182797)
VCE132309	AIPL1 (+69573), WSCD1 (+296506)
VCE132328	MED31 (-22847), SLC13A5 (+39085)
VCE132441|VCE132442|VCE132443	TMEM88 (-13423), KDM6B (+1738)
VCE132629|VCE132630|VCE132631	STX8 (+129216), NTN1 (+425478)
VCE132747|VCE132748	PIRT (-236195), SHISA6 (-166623)
VCE132808	ZNF18 (+140203), DNAH9 (+258738)
VCE133021|VCE133022|VCE133023	COX10 (-426955), HS3ST3A1 (-40647)
VCE133033	COX10 (-367135), HS3ST3A1 (-100467)
VCE133039	COX10 (-329152), HS3ST3A1 (-138450)
VCE133238|VCE133239|VCE133240	PMP22 (+246083)
VCE134219	NOS2 (-156476), NLK (-85181)
VCE134346	FOXN1 (+4058), UNC119 (+24669)
VCE134437|VCE134438	SEZ6 (-22043), PIPOX (-14559)
VCE134471|VCE134472	TIAF1 (-5099), MYO18A (+96456)
VCE134477|VCE134478	TIAF1 (-10833), MYO18A (+90722)
VCE134482|VCE134483	TIAF1 (-20438), MYO18A (+81117)
VCE134696	TMIGD1 (-36117), CPD (-8741)
VCE134825	RAB11FIP4 (+177807), COPRS (+289907)
VCE134922	RHBDL3 (-14977), RHOT1 (+108733)
VCE134990	SPACA3 (+132129), ASIC2 (+168990)
VCE134991	SPACA3 (+143924), ASIC2 (+157195)
VCE135013|VCE135014	ASIC2 (+26233), SPACA3 (+274886)
VCE135116	CCL2 (-362228)
VCE135121|VCE135122	CCL2 (-345945)
VCE135153	CCL2 (-177701)
VCE135573|VCE135574|VCE135575|VCE135576|VCE135577	LHX1 (-94028), MRM1 (+242055)
VCE135626	AATF (-767)
VCE135633|VCE135634	C17orf78 (-402623), AATF (+24187)
VCE135772|VCE135773|VCE135774	C17orf78 (-173654), AATF (+253156)
VCE135977	ARHGAP23 (-71160), SOCS7 (+5374)
VCE136240|VCE136241|VCE136242|VCE136243	RARA (-1966)
VCE136314	KRT25 (-617)
VCE136344	DNAJC7 (-400)
VCE136676	ADAM11 (+1509), GJC1 (+70271)
VCE136677	ADAM11 (+1820), GJC1 (+69960)
VCE136678	ADAM11 (+10034), GJC1 (+61746)
VCE137078|VCE137079	SP2 (-38803), SP6 (-6154)
VCE137234	SNX11 (+118980), SKAP1 (+203652)
VCE137592	NXPH3 (+21806), SPOP (+80499)
VCE137602|VCE137603|VCE137604	NXPH3 (+40946), SPOP (+61359)
VCE137734	CACNA1G (+913)
VCE137753	ABCC3 (-21184), CACNA1G (+52213)
VCE137756	ABCC3 (-6997), CACNA1G (+66400)
VCE137900	CA10 (+359880)
VCE138199|VCE138200	TOM1L1 (-326080)
VCE138264	HLF (-201054), COX11 (-95173)
VCE138267|VCE138268	HLF (-195295), COX11 (-100932)
VCE138269	HLF (-191855), COX11 (-104372)
VCE138339	MMD (-198285), TMEM100 (+111844)
VCE138369|VCE138370|VCE138371|VCE138372	PCTP (+66014)
VCE138638	NOG (+25962), C17orf67 (+214235)
VCE138669	NOG (+105909), C17orf67 (+134288)
VCE138774	MSI2 (+63681), ENSG00000166329 (+425097)
VCE138834	MSI2 (+212829), ENSG00000166329 (+275949)
VCE138878|VCE138879	ENSG00000166329 (+196783), MSI2 (+291995)
VCE138880|VCE138881|VCE138882|VCE138883	ENSG00000166329 (+191197), MSI2 (+297581)
VCE138908	ENSG00000166329 (+140221), MSI2 (+348557)
VCE138964|VCE138965	ENSG00000166329 (-74443), MRPS23 (+30301)
VCE139107	TRIM37 (+170135), PPM1E (+180717)
VCE139416|VCE139417	TBX2 (-389977), BCAS3 (+332030)
VCE139516|VCE139517	TBX2 (-212197)
VCE139623	TBX2 (-63677)
VCE139656	TBX4 (+7642), NACA2 (+127114)
VCE139710|VCE139711	NACA2 (-27877), BRIP1 (+244442)
VCE139949|VCE139950	TANC2 (-117124), MARCH10 (-84098)
VCE140358	CACNG5 (-294935), PRKCA (+237356)
VCE140377	CACNG1 (-65806), CACNG4 (+13874)
VCE140520	ABCA5 (-77053), MAP2K6 (-10544)
VCE140590	KCNJ16 (-219539), MAP2K6 (+470617)
VCE140628	KCNJ16 (-82585)
VCE140669	KCNJ2 (+206690)
VCE140680	KCNJ2 (+255426)
VCE140681|VCE140682|VCE140683	KCNJ2 (+257654)
VCE140839|VCE140840|VCE140841	NONE
VCE140857|VCE140858|VCE140859|VCE140860|VCE140861	NONE
VCE140998|VCE140999	NONE
VCE141063	SOX9 (-271381)
VCE141086	SOX9 (-202894)
VCE141233	CDC42EP4 (-91369), SDK2 (+240545)
VCE141273|VCE141274	RPL38 (-428493), SDK2 (-131071)
VCE141282|VCE141283	RPL38 (-360521), SDK2 (-199043)
VCE141318|VCE141319|VCE141320	SDK2 (-397936), RPL38 (-161628)
VCE141336	SDK2 (-489584), RPL38 (-69980)
VCE141401|VCE141402	RNF157 (-24514), PRPSAP1 (+89262)
VCE141594	CBX4 (-111476), TBC1D16 (+84943)
VCE143662	DLGAP1 (-308236)
VCE143809|VCE143810	LAMA1 (-410059), PTPRM (-38908)
VCE144840	CTAGE1 (-274268), RBBP8 (-241643)
VCE144882|VCE144883	CTAGE1 (-439273), RBBP8 (-76638)
VCE144890|VCE144891	CTAGE1 (-466095), RBBP8 (-49816)
VCE144893|VCE144894	CTAGE1 (-481754), RBBP8 (-34157)
VCE144900	CTAGE1 (-496041), RBBP8 (-19870)
VCE144901	CTAGE1 (-496913), RBBP8 (-18998)
VCE144911	CABLES1 (-48581), RBBP8 (+153357)
VCE146377|VCE146378	DSG3 (-67161), DSG4 (+3751)
VCE146543	GAREM (-271875), KLHL14 (+30755)
VCE146978	RPRD1A (+178485), GALNT1 (+234530)
VCE147174	CELF4 (+165196)
VCE147235	CELF4 (+41493)
VCE147275	CELF4 (-9679)
VCE147287|VCE147288	CELF4 (-41358)
VCE147294|VCE147295|VCE147296|VCE147297	CELF4 (-49449)
VCE147419|VCE147420	CELF4 (-402922)
VCE147468|VCE147469|VCE147470	CELF4 (-499178)
VCE147597|VCE147598|VCE147599|VCE147600	NONE
VCE147709	NONE
VCE147755|VCE147756|VCE147757|VCE147758	NONE
VCE147846|VCE147847	NONE
VCE147917|VCE147918|VCE147919|VCE147920|VCE147921|VCE147922	NONE
VCE147925	NONE
VCE147990|VCE147991	NONE
VCE148005	NONE
VCE148027	NONE
VCE148028|VCE148029	NONE
VCE148030	NONE
VCE148105|VCE148106	NONE
VCE148113|VCE148114	NONE
VCE148524|VCE148525|VCE148526|VCE148527|VCE148528	NONE
VCE149053	RIT2 (+225979)
VCE149432|VCE149433	SETBP1 (+419886)
VCE149557|VCE149558	SLC14A2 (-149983)
VCE149653	RNF165 (+77778), LOXHD1 (+147310)
VCE149725	IER3IP1 (-54364), SKOR2 (+18445)
VCE149813	SKOR2 (-229608), SMAD2 (+452350)
VCE149839	SKOR2 (-312077), SMAD2 (+369881)
VCE149944|VCE149945	SMAD2 (-232994), ZBTB7C (+1431)
VCE149956|VCE149957	CTIF (-309673), ZBTB7C (-63919)
VCE149981|VCE149982	ZBTB7C (-198028), CTIF (-175564)
VCE150089	SMAD7 (-23405), DYM (+486686)
VCE150482|VCE150483	DCC (+249529)
VCE150534	NONE
VCE150536|VCE150537	NONE
VCE150685|VCE150686	MBD2 (+172223)
VCE150910	TCF4 (+300735)
VCE151089|VCE151090|VCE151091|VCE151092|VCE151093	TCF4 (-127868)
VCE151170	TCF4 (-297983)
VCE151181	TCF4 (-330769)
VCE151214	TCF4 (-447289)
VCE151309|VCE151310	TXNL1 (+359930)
VCE151342	TXNL1 (+295977)
VCE151922|VCE151923	CDH20 (-314403)
VCE152039|VCE152040	CDH20 (+125315), RNF152 (+434862)
VCE152265	SERPINB12 (-9231), SERPINB5 (+70168)
VCE156801|VCE156802	TSHZ3 (+24609)
VCE156948|VCE156949|VCE156950	TSHZ3 (-273058)
VCE156995|VCE156996|VCE156997	TSHZ3 (-367908)
VCE157336|VCE157337	CEBPG (+60181), PEPD (+88283)
VCE157387|VCE157388	PEPD (-157346), CHST8 (-5388)
VCE157828	ACTN4 (+36106), CAPN12 (+60698)
VCE158315	TMEM160 (-51678), ZC3H4 (+13443)
VCE158387	DBP (-7772), CA11 (+1102)
VCE160495|VCE160496|VCE160497	NONE
VCE161047|VCE161048	NBAS (+455299)
VCE161354	FAM49A (-493083), VSNL1 (-382242)
VCE161385	VSNL1 (-80662)
VCE161464|VCE161465|VCE161466	RDH14 (+127693)
VCE161733	OSR1 (+32491)
VCE161734	OSR1 (+32266)
VCE161841	OSR1 (-326916), TTC32 (+218154)
VCE162364	NONE
VCE162555	NONE
VCE162556|VCE162557	NONE
VCE162558	NONE
VCE162561	NONE
VCE162562	NONE
VCE162563|VCE162564	NONE
VCE162567	NONE
VCE162593	NONE
VCE162848	ATAD2B (+372781)
VCE162855|VCE162856	ATAD2B (+344820)
VCE163213	AGBL5 (-431)
VCE163408|VCE163409|VCE163410	RBKS (-347905), FOSL2 (-153855)
VCE163510|VCE163511	C2orf71 (-287073)
VCE163630	ALK (+192052)
VCE163640|VCE163641|VCE163642|VCE163643	ALK (+159406)
VCE163670|VCE163671	ALK (+74048)
VCE163703	LBH (-268643), ALK (-41322)
VCE163755|VCE163756	LCLAT1 (-44242), LBH (+171484)
VCE163834	CAPN13 (-153753), GALNT14 (+176948)
VCE163840|VCE163841|VCE163842	CAPN13 (-195657), GALNT14 (+135044)
VCE163876	GALNT14 (-2217)
VCE164244|VCE164245	CRIM1 (-346422)
VCE164423	CDC42EP3 (+101096), QPCT (+226521)
VCE164573|VCE164574	ENSG00000269210 (-28809), SOS1 (+131900)
VCE164768	NONE
VCE165020	HAAO (-114415), ZFP36L2 (+319601)
VCE165032	HAAO (-162093), ZFP36L2 (+271923)
VCE165044	HAAO (-245989), ZFP36L2 (+188027)
VCE165203	ABCG8 (+74152), LRPPRC (+82889)
VCE165483|VCE165484	SIX3 (-177690), CAMKMT (+402109)
VCE165654	SIX2 (-248353), SRBD1 (+353498)
VCE165769	PRKCE (+53939)
VCE166126|VCE166127	LHCGR (-132465), FSHR (+266379)
VCE166161|VCE166162	LHCGR (-277365), FSHR (+121479)
VCE166167|VCE166168|VCE166169	LHCGR (-297605), FSHR (+101239)
VCE166198|VCE166199	FSHR (-118958)
VCE166265|VCE166266	NONE
VCE166469|VCE166470	NRXN1 (+30953)
VCE166476	NRXN1 (+1741)
VCE166786	TSPYL6 (-182256), SPTBN1 (-17757)
VCE166978	EFEMP1 (-189748)
VCE167101	VRK2 (-162148)
VCE167142|VCE167143|VCE167144|VCE167145	VRK2 (-37719)
VCE167200|VCE167201	VRK2 (+14294), FANCL (+319405)
VCE167299	FANCL (-50437)
VCE167300|VCE167301	FANCL (-50943)
VCE167394	FANCL (-294088)
VCE167479|VCE167480	FANCL (-392327)
VCE167530|VCE167531	FANCL (-466357)
VCE167551|VCE167552|VCE167553|VCE167554|VCE167555	FANCL (-496010)
VCE167560|VCE167561|VCE167562|VCE167563|VCE167564	NONE
VCE167766|VCE167767|VCE167768|VCE167769|VCE167770|VCE167771|VCE167772	NONE
VCE167839|VCE167840|VCE167841|VCE167842	NONE
VCE167849	NONE
VCE167857|VCE167858|VCE167859	NONE
VCE167897	NONE
VCE167912|VCE167913|VCE167914|VCE167915|VCE167916	NONE
VCE167917	NONE
VCE167924|VCE167925|VCE167926|VCE167927	NONE
VCE168044|VCE168045|VCE168046	NONE
VCE168119|VCE168120|VCE168121	NONE
VCE168182|VCE168183	NONE
VCE168227|VCE168228|VCE168229|VCE168230	NONE
VCE168234|VCE168235	NONE
VCE168242|VCE168243|VCE168244|VCE168245|VCE168246|VCE168247	NONE
VCE168254|VCE168255|VCE168256	NONE
VCE168268|VCE168269|VCE168270|VCE168271|VCE168272|VCE168273	NONE
VCE168280|VCE168281|VCE168282	NONE
VCE168283|VCE168284|VCE168285	NONE
VCE168390|VCE168391|VCE168392|VCE168393	BCL11A (+484230)
VCE168448	BCL11A (+338755)
VCE168472|VCE168473|VCE168474	BCL11A (+281746)
VCE168496|VCE168497|VCE168498	BCL11A (+236814)
VCE168512|VCE168513|VCE168514	BCL11A (+216594)
VCE168544	BCL11A (+142310)
VCE168559|VCE168560	BCL11A (+113471)
VCE168564|VCE168565|VCE168566	BCL11A (+100410)
VCE168575|VCE168576|VCE168577	BCL11A (+89305)
VCE168718|VCE168719|VCE168720|VCE168721|VCE168722|VCE168723	PAPOLG (-184737), BCL11A (-17995)
VCE168765|VCE168766	PAPOLG (-122440), BCL11A (-80292)
VCE169383|VCE169384|VCE169385|VCE169386	VPS54 (-114984), PELI1 (+10398)
VCE169720|VCE169721|VCE169722|VCE169723|VCE169724|VCE169725|VCE169726|VCE169727|VCE169728|VCE169729	SPRED2 (-433377)
VCE169731	SPRED2 (-438478)
VCE169756|VCE169757|VCE169758	MEIS1 (-489586)
VCE169799|VCE169800|VCE169801|VCE169802	MEIS1 (-361804)
VCE170251|VCE170252	MEIS1 (+392277)
VCE170386|VCE170387	ETAA1 (-321779)
VCE170619|VCE170620|VCE170621	ETAA1 (+331651), C1D (+334013)
VCE170701	C1D (+116096)
VCE170745|VCE170746|VCE170747	PLEK (-74131), PPP3R1 (-38511)
VCE170887	ASPRV1 (-73681), PCBP1 (-51507)
VCE170924|VCE170925	FAM136A (-123996), TGFA (+127929)
VCE171008	DYSF (+129418)
VCE171024	DYSF (+164420)
VCE171081	CYP26B1 (+316620), DYSF (+364715)
VCE171110|VCE171111|VCE171112	CYP26B1 (+202566), DYSF (+478769)
VCE171252	CYP26B1 (-429055), EXOC6B (+248948)
VCE171389	ALMS1 (-46434), EGR4 (-45623)
VCE171448	TET3 (-37414), DGUOK (+82083)
VCE171804|VCE171805	LRRTM4 (+194190)
VCE171980	CTNNA2 (+273599)
VCE172786|VCE172787	TEX37 (-324357), THNSL2 (+28833)
VCE173687|VCE173688	REV1 (-409385), AFF3 (+206163)
VCE174155|VCE174156|VCE174157	NONE
VCE174170|VCE174171	NONE
VCE174203	NONE
VCE174579	MRPS9 (-60511), POU3F3 (+121961)
VCE175327	ACTR3 (+189149)
VCE175405	NONE
VCE175701|VCE175702|VCE175703	INSIG2 (-34960), DDX18 (+238864)
VCE175704	INSIG2 (-34460), DDX18 (+239364)
VCE175714|VCE175715|VCE175716|VCE175717|VCE175718	INSIG2 (-23273), DDX18 (+250551)
VCE175744	INSIG2 (+59918)
VCE175804|VCE175805	INSIG2 (+243685)
VCE175844|VCE175845|VCE175846|VCE175847	EN1 (+370290), INSIG2 (+388914)
VCE175867|VCE175868|VCE175869	EN1 (+298358), INSIG2 (+460846)
VCE175906|VCE175907|VCE175908|VCE175909|VCE175910|VCE175911	EN1 (+178461)
VCE175959|VCE175960|VCE175961	EN1 (+39482)
VCE176008	C1QL2 (+28711), MARCO (+188012)
VCE176009|VCE176010	C1QL2 (+15971), MARCO (+200752)
VCE176054	PTPN4 (-43209), TMEM177 (+37255)
VCE176166	GLI2 (+66451), TFCP2L1 (+426347)
VCE176178	GLI2 (+112653), TFCP2L1 (+380145)
VCE176442	CNTNAP5 (+242479)
VCE177721	CXCR4 (-63017)
VCE177722|VCE177723	CXCR4 (-73248)
VCE177898	THSD7B (+265188)
VCE178690|VCE178691	ARHGAP15 (-15656), KYNU (+236160)
VCE178793|VCE178794|VCE178795	ARHGAP15 (+163383)
VCE178858|VCE178859	ARHGAP15 (+255140)
VCE179014|VCE179015	ARHGAP15 (+465135)
VCE179358	GTDC1 (+216203)
VCE179440	GTDC1 (+54299)
VCE179560|VCE179561	GTDC1 (-158274), ZEB2 (+68287)
VCE180036|VCE180037	NONE
VCE180317|VCE180318|VCE180319|VCE180320|VCE180321	NONE
VCE180654	NONE
VCE180725|VCE180726	NONE
VCE181057|VCE181058	KIF5C (-87291), EPC2 (+142975)
VCE181059	KIF5C (-86774), EPC2 (+143492)
VCE181075	LYPD6B (-215143), KIF5C (+47019)
VCE181373|VCE181374	RND3 (-269270)
VCE181416|VCE181417|VCE181418|VCE181419	RBM43 (+228320)
VCE182104|VCE182105	NR4A2 (+167647)
VCE182290|VCE182291|VCE182292|VCE182293	GPD2 (+217459)
