# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 500000 bp max extension, curated regulatory domains excluded
AAGAB	VCE113360 (-57129)
EMILIN3	VCE200370 (-27094)
EMP1	VCE65727|VCE65728 (+272535)
EMX2	VCE46499|VCE46500 (-39035), VCE46638|VCE46639 (+361416)
EN1	VCE175959|VCE175960|VCE175961 (+39482), VCE175906|VCE175907|VCE175908|VCE175909|VCE175910|VCE175911 (+178461), VCE175867|VCE175868|VCE175869 (+298358), VCE175844|VCE175845|VCE175846|VCE175847 (+370290)
ENC1	VCE267107 (+9044)
ENHO	VCE351819 (-51033), VCE351799|VCE351800 (-32151)
ENO4	VCE46427|VCE46428|VCE46429|VCE46430|VCE46431|VCE46432 (+112412)
ENSG00000091436	VCE185438|VCE185439 (+60788)
ENSG00000166329	VCE138964|VCE138965 (-74443), VCE138908 (+140221), VCE138880|VCE138881|VCE138882|VCE138883 (+191197), VCE138878|VCE138879 (+196783), VCE138834 (+275949), VCE138774 (+425097)
ENSG00000213121	VCE304854 (+321046)
ENSG00000261833	VCE129412 (+48027), VCE129414 (+51413), VCE129415 (+58400), VCE129416 (+59212), VCE129417|VCE129418 (+64050), VCE129438 (+252577), VCE129452|VCE129453 (+333489), VCE129456|VCE129457|VCE129458 (+352667), VCE129477 (+477860)
ENSG00000267561	VCE13219 (+172293)
ENSG00000269210	VCE164573|VCE164574 (-28809)
EOMES	VCE213928 (-163436), VCE213899 (+8174)
EPC2	VCE181057|VCE181058 (+142975), VCE181059 (+143492)
EPHA3	VCE223319|VCE223320|VCE223321 (-188481), VCE223437|VCE223438 (+285676), VCE223444 (+312683)
EPHA4	VCE193872|VCE193873|VCE193874 (+211714)
EPHA5	VCE244708 (+80721)
EPHA6	VCE223901|VCE223902|VCE223903 (+334451)
EPHA7	VCE296312|VCE296313|VCE296314|VCE296315 (+235813)
EPHB1	VCE228767 (+310578)
EPHB3	VCE235874|VCE235875|VCE235876 (+118866)
ERC2	VCE216953|VCE216954|VCE216955 (+337919)
EREG	VCE245398 (+53408)
ESR1	VCE304784 (+367619)
ESRRG	VCE28268|VCE28269|VCE28270 (-94280), VCE28256|VCE28257|VCE28258|VCE28259 (-82816), VCE28191|VCE28192|VCE28193 (+24056), VCE28100|VCE28101|VCE28102 (+191043)
ETAA1	VCE170386|VCE170387 (-321779), VCE170619|VCE170620|VCE170621 (+331651)
ETNK1	VCE67117|VCE67118|VCE67119|VCE67120|VCE67121 (+368937)
ETS1	VCE63242 (+69608), VCE63193|VCE63194 (+328484), VCE63188 (+340918)
ETV1	VCE310747 (-101890), VCE310734|VCE310735|VCE310736 (-38177), VCE310657|VCE310658 (+188714)
EVX1	VCE313313|VCE313314 (+57534), VCE313405|VCE313406 (+229007)
EXOC2	VCE284936|VCE284937 (-200302)
EXOC4	VCE326776|VCE326777|VCE326778|VCE326779 (+421671)
EXOC6B	VCE171252 (+248948)
EXOSC10	VCE1286 (-69206), VCE1284|VCE1285 (-59026)
EXT1	VCE343745|VCE343746|VCE343747 (-409467), VCE343546|VCE343547 (+461517)
EYA1	VCE336615|VCE336616|VCE336617 (-74393), VCE336571 (+71336), VCE336535 (+191771), VCE336532|VCE336533|VCE336534 (+196587), VCE336530|VCE336531 (+197263), VCE336510|VCE336511 (+261223), VCE336484|VCE336485 (+313197)
EYA2	VCE201122|VCE201123|VCE201124|VCE201125 (-77575)
EYA4	VCE302368|VCE302369|VCE302370|VCE302371|VCE302372 (-276372), VCE302522 (+346417), VCE302536 (+446501), VCE302537 (+446846)
FAAH	VCE5734|VCE5735 (+58924)
FAF1	VCE6677|VCE6678 (+260127), VCE6644|VCE6645|VCE6646 (+326613), VCE6593 (+480198), VCE6592 (+480601)
FAM114A2	VCE279100|VCE279101 (+331024)
FAM136A	VCE170924|VCE170925 (-123996)
FAM154A	VCE349466|VCE349467|VCE349468 (+47328)
FAM155A	VCE91787 (+302895)
FAM155B	VCE375871|VCE375872 (-220914)
FAM170A	VCE274250 (+162790), VCE274253 (+203727), VCE274254 (+203985)
FAM172A	VCE270941 (-193773)
FAM185A	VCE322414 (+140916)
FAM188A	VCE33135|VCE33136|VCE33137|VCE33138|VCE33139 (-244639), VCE33134 (-238590)
FAM198B	VCE255509 (+229701)
FAM19A1	VCE218924|VCE218925 (-269409), VCE219025|VCE219026 (+145888)
FAM19A4	VCE219117|VCE219118 (+232441), VCE219087|VCE219088 (+406295)
FAM49A	VCE161354 (-493083)
FAM5B	VCE23368 (+20551)
FAM71D	VCE100726 (-203381)
FANCL	VCE167551|VCE167552|VCE167553|VCE167554|VCE167555 (-496010), VCE167530|VCE167531 (-466357), VCE167479|VCE167480 (-392327), VCE167394 (-294088), VCE167300|VCE167301 (-50943), VCE167299 (-50437), VCE167200|VCE167201 (+319405)
FAR1	VCE50169|VCE50170 (+385686)
FAT1	VCE258591|VCE258592|VCE258593|VCE258594 (-444523), VCE258539|VCE258540 (-80712)
FAXC	VCE297649|VCE297650 (+225792), VCE297611|VCE297612|VCE297613 (+308101), VCE297573|VCE297574|VCE297575|VCE297576|VCE297577|VCE297578 (+371622)
FBXL22	VCE112868|VCE112869 (+104795)
FBXL4	VCE297649|VCE297650 (-175937), VCE297611|VCE297612|VCE297613 (-93628), VCE297573|VCE297574|VCE297575|VCE297576|VCE297577|VCE297578 (-30107)
FER	VCE273262|VCE273263 (+69796)
FERMT1	VCE195987 (-434863)
FEZ1	VCE62650|VCE62651 (+106582), VCE62625 (+165436)
FEZF1	VCE325182|VCE325183 (+44075)
FEZF2	VCE218221|VCE218222 (-128987), VCE218203 (-107202), VCE218129|VCE218130 (-31853), VCE218104 (+7896)
FGD5	VCE212069 (-5491)
FGF12	VCE236897 (-1275)
FGF18	VCE283243|VCE283244|VCE283245|VCE283246|VCE283247|VCE283248 (+54818)
FGF5	VCE246072|VCE246073 (+40920)
FGGY	VCE8058 (-460330), VCE8093 (-217191), VCE8167|VCE8168 (+220089)
FHIT	VCE217833|VCE217834 (-73324), VCE217722 (+197584), VCE217687|VCE217688|VCE217689 (+334739), VCE217673|VCE217674 (+383180), VCE217655|VCE217656 (+449245)
FIGN	VCE183989|VCE183990|VCE183991|VCE183992 (-279689), VCE183961|VCE183962|VCE183963 (-251798), VCE183817 (+46313), VCE183771|VCE183772|VCE183773 (+122328), VCE183760|VCE183761 (+141572)
FILIP1L	VCE224178|VCE224179 (+457767), VCE224172 (+468333)
FKBP4	VCE64763 (-160813)
FLRT3	VCE197345|VCE197346|VCE197347 (+2265)
FMN1	VCE107566|VCE107567 (+122250)
FN1	VCE192838 (-433172)
FOCAD	VCE349842|VCE349843 (+294574)
FOSL2	VCE163408|VCE163409|VCE163410 (-153855)
FOXA1	VCE96784|VCE96785 (+128331)
FOXB1	VCE112023|VCE112024|VCE112025 (-226072), VCE112161 (+97432)
FOXB2	VCE355077|VCE355078|VCE355079 (+111893)
FOXC1	VCE285046|VCE285047|VCE285048|VCE285049|VCE285050|VCE285051|VCE285052|VCE285053|VCE285054 (+192820), VCE285083|VCE285084 (+255172)
FOXD3	VCE9026|VCE9027 (-344410), VCE9047|VCE9048|VCE9049 (-314956)
FOXG1	VCE94198 (+276879), VCE94199|VCE94200 (+278099), VCE94201|VCE94202 (+278707)
FOXN1	VCE134346 (+4058)
FOXN3	VCE104125 (-190440), VCE104121|VCE104122|VCE104123|VCE104124 (-188098)
FOXO1	VCE81814 (+220695)
FOXO4	VCE376337|VCE376338 (+1137)
FOXP1	VCE219897 (+25419), VCE219736|VCE219737 (+250835), VCE219640|VCE219641 (+402427)
FOXP2	VCE323788 (-50545), VCE323868|VCE323869|VCE323870 (+126944)
FOXQ1	VCE284936|VCE284937 (-419262)
FRAS1	VCE245689 (+174500)
FRK	VCE300286|VCE300287 (+347953)
FSCB	VCE97555|VCE97556|VCE97557 (-267247)
FSHB	VCE52313 (+84633)
FSHR	VCE166198|VCE166199 (-118958), VCE166167|VCE166168|VCE166169 (+101239), VCE166161|VCE166162 (+121479), VCE166126|VCE166127 (+266379)
FSTL4	VCE276324|VCE276325 (+136956)
FTHL17	VCE370136 (-96635), VCE370114|VCE370115 (+22371), VCE370110 (+32866)
FTO	VCE125008|VCE125009|VCE125010|VCE125011 (+243181)
FUBP3	VCE362987|VCE362988 (+48812)
FUCA2	VCE304004 (-99115)
FUT8	VCE100425|VCE100426 (-215849)
FZD1	VCE320666 (+79208)
FZD5	VCE191678 (-181898)
FZD7	VCE190118|VCE190119 (+5120)
GAB2	VCE56643 (+148688)
GABBR2	VCE357862 (+376507)
GALNT1	VCE146978 (+234530)
GALNT11	VCE328308 (+121259)
GALNT14	VCE163876 (-2217), VCE163840|VCE163841|VCE163842 (+135044), VCE163834 (+176948)
GALNT18	VCE49833 (+58193)
GALNT5	VCE182464 (-83887), VCE182465 (-83662)
GAP43	VCE226373|VCE226374 (+335225)
GAREM	VCE146543 (-271875)
GAS1	VCE356840|VCE356841 (-254329), VCE356814 (-50984), VCE356813 (-50260), VCE356812 (-32048)
GATA3	VCE32141|VCE32142|VCE32143|VCE32144|VCE32145 (+244776)
GATAD2B	VCE20678 (-6281), VCE20677 (-5886)
GBE1	VCE222228|VCE222229|VCE222230 (-171802)
GBX2	VCE195121|VCE195122|VCE195123 (+209579)
GDAP1	VCE337083|VCE337084|VCE337085 (+106604), VCE337130|VCE337131|VCE337132 (+460360)
GDNF	VCE262607 (-103316)
GFRA1	VCE46326 (-44185), VCE46236|VCE46237|VCE46238 (+102099), VCE46209 (+147488)
GGACT	VCE90935|VCE90936 (+77071)
GHITM	VCE41541 (-230247), VCE41543 (-197702)
GIGYF2	VCE194981 (-50249)
GINS2	VCE130745 (-8054)
GJA10	VCE295448|VCE295449 (+213651)
GJB5	VCE3574 (-257016), VCE3611 (-62337)
GJC1	VCE136678 (+61746), VCE136677 (+69960), VCE136676 (+70271)
GJD2	VCE107762|VCE107763|VCE107764 (+53133)
GK	VCE369970|VCE369971 (-320229), VCE370001|VCE370002|VCE370003 (-217685)
GLI2	VCE176166 (+66451), VCE176178 (+112653)
GLIS1	VCE7053 (+113672)
GMDS	VCE285083|VCE285084 (+380073), VCE285046|VCE285047|VCE285048|VCE285049|VCE285050|VCE285051|VCE285052|VCE285053|VCE285054 (+442425)
GMPR	VCE286854|VCE286855 (+258581)
GNAI3	VCE17312 (+16913)
GNAT2	VCE17312 (+47533)
GOLGA4	VCE215034|VCE215035|VCE215036 (+111255)
GOLGA8B	VCE107762|VCE107763|VCE107764 (-118262)
GORAB	VCE22416|VCE22417 (-298820)
GOT2	VCE126024|VCE126025|VCE126026 (-429560), VCE125962|VCE125963|VCE125964|VCE125965|VCE125966 (-224242)
GPC3	VCE387365|VCE387366 (-28031)
GPC6	VCE89714 (+223397)
GPCPD1	VCE195840 (+194634)
GPD2	VCE182290|VCE182291|VCE182292|VCE182293 (+217459)
GPHN	VCE100726 (+478640)
GPM6A	VCE256967 (+303197)
GPN2	VCE2667 (+17709)
GPR125	VCE239933 (-326907), VCE239897 (-224267), VCE239871 (-153980)
GPR126	VCE303827 (+384393)
GPR155	VCE185789 (+42212)
GPR176	VCE109481|VCE109482|VCE109483|VCE109484 (+227726)
GPR52	VCE22870 (-20540)
GPR64	VCE367256 (-133558), VCE367236 (-30479)
GPR84	VCE70706 (+34149)
GRB14	VCE184161|VCE184162 (+192288), VCE184145|VCE184146|VCE184147 (+232056), VCE184117|VCE184118|VCE184119 (+267891)
GREM1	VCE107566|VCE107567 (+227660)
GRIA1	VCE279100|VCE279101 (+215723)
GRIK2	VCE298143|VCE298144|VCE298145|VCE298146 (+136349)
GRIK3	VCE4132 (-271674), VCE4091 (-137665), VCE4079 (-65878), VCE4048 (+21905), VCE4039 (+55989), VCE4030|VCE4031 (+91716), VCE4020 (+110975), VCE3998 (+180265), VCE3993|VCE3994|VCE3995 (+188953), VCE3980 (+246073), VCE3974 (+256611), VCE3967|VCE3968 (+278322)
GRIN3A	VCE358365 (+116881), VCE358363|VCE358364 (+119665)
GRM5	VCE57835 (+161852)
GRPR	VCE366542 (+356052)
GRXCR1	VCE242763 (+411444)
GSC	VCE104440 (-3179)
GSE1	VCE130730 (-49953), VCE130731 (-46436)
GTDC1	VCE179560|VCE179561 (-158274), VCE179440 (+54299), VCE179358 (+216203)
GTF2B	VCE14113 (-79250)
GYPA	VCE253606|VCE253607 (-423678), VCE253605 (-422430), VCE253548|VCE253549 (-235037)
H2AFY	VCE276645|VCE276646 (+208919), VCE276618 (+236143), VCE276609|VCE276610|VCE276611 (+249627), VCE276589|VCE276590|VCE276591 (+295708), VCE276578|VCE276579 (+333753)
HAAO	VCE165044 (-245989), VCE165032 (-162093), VCE165020 (-114415)
HACE1	VCE298526|VCE298527|VCE298528 (+344769)
HBS1L	VCE302690 (-90633)
HDAC9	VCE311665|VCE311666 (+419365)
HERC1	VCE112868|VCE112869 (+131740)
HEY1	VCE338279|VCE338280 (-195725)
HHIP	VCE253548|VCE253549 (-270232), VCE253605 (-82839), VCE253606|VCE253607 (-81591)
HIBADH	VCE313405|VCE313406 (+191443), VCE313313|VCE313314 (+362916)
HIC1	VCE131889 (+34583)
HIF1A	VCE100036 (-365394)
HIF1AN	VCE43627 (+152060)
HIVEP2	VCE303827 (+258879)
HLF	VCE138264 (-201054), VCE138267|VCE138268 (-195295), VCE138269 (-191855)
HMGA2	VCE72090|VCE72091 (-439071), VCE72182|VCE72183|VCE72184|VCE72185 (-208734)
HMGB4	VCE3404|VCE3405 (-158961), VCE3440|VCE3441|VCE3442 (+37925)
HNF4G	VCE337199 (-79222), VCE337232|VCE337233 (+119627)
HNRNPA3	VCE186542|VCE186543 (-498926), VCE186547|VCE186548|VCE186549 (-484856), VCE186556|VCE186557 (-468818), VCE186563 (-460901), VCE186599 (-405705), VCE186647|VCE186648|VCE186649|VCE186650 (-306857), VCE186763 (-53558)
HOOK1	VCE8167|VCE8168 (-297791)
HOXA1	VCE313120 (+185104)
HOXA2	VCE313225 (-11442)
HOXA3	VCE313225 (+5342)
HOXC10	VCE70564 (+6904)
HOXC13	VCE70477|VCE70478|VCE70479 (-121901), VCE70508|VCE70509 (-88502), VCE70526 (-41784)
HOXC9	VCE70564 (-8029)
HPS1	VCE43355|VCE43356 (-386068), VCE43348|VCE43349|VCE43350|VCE43351|VCE43352|VCE43353 (-385285), VCE43346|VCE43347 (-384614)
HPSE2	VCE43355|VCE43356 (+402868), VCE43348|VCE43349|VCE43350|VCE43351|VCE43352|VCE43353 (+403651), VCE43346|VCE43347 (+404322)
HRASLS	VCE236968 (-145545), VCE236987|VCE236988|VCE236989 (-72042)
HRK	VCE78464|VCE78465 (+72697)
HS3ST1	VCE238507 (+332069)
HS3ST3A1	VCE133039 (-138450), VCE133033 (-100467), VCE133021|VCE133022|VCE133023 (-40647)
HSBP1	VCE130618|VCE130619 (-493748)
HSPA4	VCE276324|VCE276325 (+423645)
HTATIP2	VCE51362|VCE51363|VCE51364|VCE51365 (-186391)
HTR1B	VCE293898 (+163699)
IBTK	VCE294309|VCE294310 (+387306)
ICOS	VCE190364|VCE190365 (+84492), VCE190532|VCE190533 (+377897)
ID4	VCE287351|VCE287352|VCE287353 (-388957)
IER3IP1	VCE149725 (-54364)
IGF1	VCE76890 (-68235)
IGFBP7	VCE243863|VCE243864 (-352605), VCE243831 (-257090), VCE243830 (-253581), VCE243788|VCE243789 (-130912)
IGSF11	VCE227176|VCE227177 (+262339), VCE227145|VCE227146 (+334749)
IGSF21	VCE1758|VCE1759|VCE1760 (-75349), VCE1792 (+137592)
IHH	VCE193236 (-5216)
IKZF1	VCE316179 (-108514)
IKZF2	VCE192496 (-78415)
IL12B	VCE280400 (-230020)
IL15	VCE253276 (-148249)
IL17B	VCE278717|VCE278718 (-138941)
IL1RAPL1	VCE369541 (-171806), VCE369586|VCE369587 (-4517)
IL1RAPL2	VCE381267|VCE381268 (+371674)
IL20RB	VCE229151 (+307047)
IL22	VCE72601 (-24333)
IL2RG	VCE376337|VCE376338 (+14297)
INHBA	VCE315525|VCE315526|VCE315527|VCE315528|VCE315529|VCE315530 (+73208)
INO80	VCE109651 (-139), VCE109650 (+678)
INO80D	VCE191153 (+337551)
INPP4B	VCE253340 (+239666)
INPP5A	VCE48615|VCE48616|VCE48617 (+163228)
INSC	VCE50412|VCE50413|VCE50414 (+322297), VCE50417|VCE50418|VCE50419 (+334716)
INSIG2	VCE175701|VCE175702|VCE175703 (-34960), VCE175704 (-34460), VCE175714|VCE175715|VCE175716|VCE175717|VCE175718 (-23273), VCE175744 (+59918), VCE175804|VCE175805 (+243685), VCE175844|VCE175845|VCE175846|VCE175847 (+388914), VCE175867|VCE175868|VCE175869 (+460846)
INSM1	VCE198096 (-91133)
IQCJ-SCHIP1	VCE231960 (+158072), VCE231961|VCE231962|VCE231963|VCE231964|VCE231965 (+167241)
IRG1	VCE87709 (-54963)
IRX3	VCE125008|VCE125009|VCE125010|VCE125011 (+339619)
IRX5	VCE125459|VCE125460|VCE125461 (-123799)
ISL1	VCE263486 (-425102), VCE263532|VCE263533|VCE263534 (-323677)
ISM1	VCE197174|VCE197175 (+84340)
ISPD	VCE311162|VCE311163|VCE311164 (+358826)
ITGA4	VCE187383|VCE187384 (-350888), VCE187388|VCE187389 (-348475), VCE187450 (-79318), VCE187451|VCE187452|VCE187453 (-78678), VCE187490|VCE187491|VCE187492|VCE187493 (+158168)
IZUMO3	VCE350529 (-66268), VCE350527|VCE350528 (-62930), VCE350525|VCE350526 (-58129), VCE350523|VCE350524 (-56597), VCE350522 (-47517), VCE350518|VCE350519|VCE350520 (-36730), VCE350516 (-6904)
JAG1	VCE196796|VCE196797 (-399341)
JARID2	VCE286765 (+158331), VCE286774 (+345449)
JAZF1	VCE313482|VCE313483|VCE313484|VCE313485 (+362694)
JDP2	VCE101911 (+27041)
JKAMP	VCE99685 (+287068)
JUN	VCE8093 (-295677), VCE8058 (-52538)
KAT6B	VCE39638|VCE39639 (-223720), VCE39681|VCE39682 (-72638)
KCNA5	VCE65026|VCE65027 (+215588), VCE65040|VCE65041 (+383114)
KCNB2	VCE336761 (-443036), VCE336829|VCE336830 (+224257)
KCND2	VCE324916 (+44575), VCE324934|VCE324935|VCE324936 (+161143)
KCND3	VCE17627 (-366830), VCE17620|VCE17621 (-328276), VCE17541 (+30189), VCE17519|VCE17520 (+127386)
KCNH7	VCE183587|VCE183588|VCE183589|VCE183590 (-370173)
KCNH8	VCE212810|VCE212811|VCE212812 (-489125), VCE212855 (-370091)
KCNJ11	VCE51017 (-46071)
KCNJ16	VCE140590 (-219539), VCE140628 (-82585)
KCNJ2	VCE140669 (+206690), VCE140680 (+255426), VCE140681|VCE140682|VCE140683 (+257654)
KCNK18	VCE46472 (-51067)
KCNK2	VCE27789 (-105805)
KCNMA1	VCE40783 (+253191)
KCNMB2	VCE234764|VCE234765 (-253439)
KCNS2	VCE340782 (-85518)
KCNT2	VCE25292|VCE25293|VCE25294 (+476090)
KCNU1	VCE332815 (+295370), VCE332859|VCE332860 (+397036), VCE332875|VCE332876 (+440459)
KCNV1	VCE342541 (-438297), VCE342524 (-267068), VCE342516 (-157225)
KCTD12	VCE87709 (-7144), VCE87666 (+426695)
KCTD3	VCE27869|VCE27870|VCE27871 (+139374), VCE27937|VCE27938 (+337286)
KDM6B	VCE132441|VCE132442|VCE132443 (+1738)
KDR	VCE243548 (+278209)
KIAA1009	VCE294559 (-198507), VCE294556|VCE294557|VCE294558 (-197603)
KIAA1217	VCE34023|VCE34024|VCE34025|VCE34026 (-327826)
KIAA1456	VCE330024|VCE330025 (-150356)
KIAA1598	VCE46427|VCE46428|VCE46429|VCE46430|VCE46431|VCE46432 (+43653)
KIAA1715	VCE186142|VCE186143|VCE186144 (+195111), VCE186101 (+314480), VCE186068|VCE186069|VCE186070 (+396112)
KIF26B	VCE31044 (+372185)
KIF2A	VCE265249|VCE265250|VCE265251 (-362280)
KIF5C	VCE181057|VCE181058 (-87291), VCE181059 (-86774), VCE181075 (+47019)
KIRREL3	VCE62924|VCE62925 (+103016), VCE62900|VCE62901 (+138444)
KIT	VCE243548 (+189462)
KLF5	VCE87120 (-98070), VCE87225|VCE87226 (+276635), VCE87239|VCE87240 (+314792)
KLF7	VCE191472|VCE191473|VCE191474 (-57139), VCE191471 (-54545), VCE191470 (-54218), VCE191467|VCE191468|VCE191469 (-53627), VCE191466 (-50784), VCE191464|VCE191465 (-49566), VCE191462|VCE191463 (-48180), VCE191459|VCE191460|VCE191461 (-40380), VCE191449 (-24109), VCE191426 (+11780)
KLF9	VCE354302 (-381352)
KLHDC7A	VCE1792 (-235592)
KLHL13	VCE383633 (-266242)
KLHL14	VCE146543 (+30755)
KLHL38	VCE344232 (-18105)
KMT2C	VCE328308 (+240448)
KRT25	VCE136314 (-617)
KYNU	VCE178690|VCE178691 (+236160)
LACE1	VCE299361 (-13832)
LAMA1	VCE143809|VCE143810 (-410059)
LARS	VCE278363 (+204049)
LBH	VCE163703 (-268643), VCE163755|VCE163756 (+171484)
LCLAT1	VCE163755|VCE163756 (-44242)
LEPREL1	VCE236698 (-137905)
LGI2	VCE240766|VCE240767 (+82956)
LHCGR	VCE166167|VCE166168|VCE166169 (-297605), VCE166161|VCE166162 (-277365), VCE166126|VCE166127 (-132465)
LHFPL2	VCE267670 (-259538)
LHFPL3	VCE322590 (-88019)
LHX1	VCE135573|VCE135574|VCE135575|VCE135576|VCE135577 (-94028)
LIFR	VCE262726 (-1688)
LINGO2	VCE351219|VCE351220|VCE351221 (+305623)
LMNA	VCE20858 (-11981)
LMO1	VCE49439 (-138985), VCE49400|VCE49401 (-26402), VCE49391|VCE49392 (-6050)
LMO4	VCE13219 (-163166), VCE13367|VCE13368 (+41514), VCE13378|VCE13379|VCE13380|VCE13381|VCE13382 (+73720), VCE13559|VCE13560 (+401321)
LMX1B	VCE362645 (-184916), VCE362740 (+62499)
LNPEP	VCE271372 (+75289)
LONRF1	VCE330024|VCE330025 (-39831)
LONRF3	VCE383724|VCE383725 (-23500)
LOXHD1	VCE149653 (+147310)
LPHN2	VCE11754|VCE11755|VCE11756 (-498021), VCE11784 (-465646), VCE12129 (+119702)
LPHN3	VCE244266 (+96361)
LPP	VCE236334|VCE236335 (+75043), VCE236418 (+429394)
LRBA	VCE254854 (+65387), VCE254851|VCE254852|VCE254853 (+78091), VCE254824|VCE254825|VCE254826|VCE254827 (+219210)
LRFN2	VCE289959|VCE289960 (-196885), VCE289923 (+65936), VCE289921|VCE289922 (+82061)
LRGUK	VCE326776|VCE326777|VCE326778|VCE326779 (-452552), VCE326806|VCE326807 (-360962), VCE326833 (-290277)
LRIG1	VCE218703 (+8211), VCE218678 (+99402)
LRPPRC	VCE165203 (+82889)
LRRC17	VCE322414 (-22867)
LRRC3B	VCE213851|VCE213852 (-4455)
LRRC4	VCE325771|VCE325772 (+266232)
LRRN3	VCE323331|VCE323332|VCE323333|VCE323334 (-161290)
LRRTM2	VCE277190|VCE277191 (-31187)
LRRTM3	VCE38687|VCE38688 (-147693)
LRRTM4	VCE171804|VCE171805 (+194190)
LSAMP	VCE226373|VCE226374 (+486796)
LYPD6B	VCE181075 (-215143)
LYPLAL1	VCE28882|VCE28883 (-24670), VCE28884 (-20060), VCE28909|VCE28910|VCE28911 (+74301), VCE28972|VCE28973|VCE28974 (+322289)
LYZL1	VCE34514 (-316755), VCE34526 (-247402), VCE34551 (-88915)
MAB21L1	VCE81404|VCE81405 (-95755)
MAB21L2	VCE254663|VCE254664|VCE254665 (-265971), VCE254717|VCE254718|VCE254719|VCE254720|VCE254721|VCE254722|VCE254723 (-142444), VCE254824|VCE254825|VCE254826|VCE254827 (+214362), VCE254851|VCE254852|VCE254853 (+355481), VCE254854 (+368185)
MACROD2	VCE197345|VCE197346|VCE197347 (+339974)
MAF	VCE130097|VCE130098 (-58525), VCE130000 (+363806)
MAFB	VCE200285 (-144760), VCE200205 (+154378), VCE200165|VCE200166|VCE200167 (+353339), VCE200140 (+447390)
MAGEB5	VCE369141 (+179328), VCE369142 (+221437), VCE369143 (+223448)
MAGEC1	VCE389188 (+98795), VCE389198|VCE389199 (+196268)
MAGEC2	VCE389198|VCE389199 (+105128), VCE389188 (+202601)
MAL2	VCE343839 (-64131), VCE343842|VCE343843 (-16379)
MAML3	VCE253116 (+234984)
MAN1C1	VCE2475 (+78684)
MAN2A1	VCE273338|VCE273339|VCE273340 (-126713)
MAOA	VCE372634 (+189935)
MAOB	VCE372635 (-3350), VCE372634 (+36291)
MAP1LC3B2	VCE78415 (-239049)
MAP2	VCE191823 (-145755), VCE191844|VCE191845|VCE191846 (+108412)
MAP2K5	VCE113452 (+38306), VCE113480 (+67843), VCE113519|VCE113520|VCE113521 (+178075)
MAP2K6	VCE140520 (-10544), VCE140590 (+470617)
MAP3K7	VCE295795|VCE295796 (-442708), VCE295644 (-132888), VCE295548 (+165759), VCE295519|VCE295520 (+258974)
MAPK10	VCE246929 (-200536)
MAPKAP1	VCE362357|VCE362358 (-8230)
MARCH10	VCE139949|VCE139950 (-84098)
MARCO	VCE176008 (+188012), VCE176009|VCE176010 (+200752)
MARK2	VCE55430 (-117123)
MAST4	VCE265845 (+124315), VCE265859 (+196719), VCE265865|VCE265866|VCE265867 (+199623), VCE265885|VCE265886|VCE265887|VCE265888 (+246418)
MAT2B	VCE280760|VCE280761|VCE280762 (+82871)
MATR3	VCE277310|VCE277311 (-25150)
MAX	VCE100425|VCE100426 (-92273)
MBD2	VCE150685|VCE150686 (+172223)
MBIP	VCE96245 (+207842), VCE96229 (+251516)
MBL2	VCE36981|VCE36982|VCE36983 (+375401)
MBTPS2	VCE367846 (-40744)
MDFIC	VCE323868|VCE323869|VCE323870 (-380213), VCE324053|VCE324054|VCE324055 (+112907)
MDGA1	VCE289468 (-54449), VCE289451|VCE289452 (+5303), VCE289427 (+161049)
MDGA2	VCE97845 (+191203)
MDM1	VCE72601 (+54392)
MED13L	VCE78415 (-42994)
MED27	VCE363113|VCE363114|VCE363115|VCE363116 (+50362)
MED30	VCE343476 (-254590), VCE343546|VCE343547 (+129623)
MED31	VCE132328 (-22847)
MEF2C	VCE269334|VCE269335|VCE269336 (-386775), VCE269196 (-107859)
MEF2D	VCE20886 (+13700)
MEGF10	VCE275689|VCE275690|VCE275691 (-50102)
MEIS1	VCE169756|VCE169757|VCE169758 (-489586), VCE169799|VCE169800|VCE169801|VCE169802 (-361804), VCE170251|VCE170252 (+392277)
MEIS2	VCE109101|VCE109102 (-321766), VCE109081 (-259796), VCE109061|VCE109062 (-245689), VCE109017|VCE109018 (-121548), VCE108905|VCE108906 (+43560), VCE108884|VCE108885|VCE108886|VCE108887|VCE108888 (+62256), VCE108872|VCE108873|VCE108874 (+70853), VCE108779|VCE108780|VCE108781|VCE108782|VCE108783 (+173726), VCE108737|VCE108738|VCE108739|VCE108740 (+215383), VCE108649|VCE108650 (+368652), VCE108633|VCE108634 (+402276)
MEOX2	VCE311162|VCE311163|VCE311164 (-375684)
METTL11B	VCE22416|VCE22417 (+87308)
METTL21D	VCE98147|VCE98148|VCE98149 (-108879)
METTL8	VCE185037|VCE185038|VCE185039|VCE185040 (+88766)
MEX3A	VCE20858 (-20728)
MGAT4C	VCE74632|VCE74633 (+107437)
MGMT	VCE48262|VCE48263|VCE48264 (+180999)
MGST2	VCE253116 (+253432)
MID1IP1	VCE371248|VCE371249|VCE371250 (-54389), VCE371336 (+208320)
MIPOL1	VCE96784|VCE96785 (+268753)
MITF	VCE219302 (+326864), VCE219397 (+455057)
MKX	VCE34408|VCE34409|VCE34410 (-455853), VCE34388 (-313036)
MLH3	VCE101857|VCE101858 (+9293)
MLLT3	VCE349647|VCE349648 (+321828)
MMD	VCE138339 (-198285)
